Timestamp                       Thread     Type        Activity             PID    TTL  
2021-02-08 19:26:27.993289+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000003ff
2021-02-08 19:26:27.993291+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000007ff
2021-02-08 19:26:27.993622+0800 0x74       Default     0x0                  0      0    kernel: PMRD: wrangler DevicePowerState (ps 0, 1->0)
2021-02-08 19:26:27.993624+0800 0x74       Default     0x0                  0      0    kernel: PMRD: evaluatePolicy( 11, 0x0 )
2021-02-08 19:26:27.993625+0800 0x74       Default     0x0                  0      0    kernel: PMRD: evaluatePolicy( 0, 0x0 )
2021-02-08 19:26:27.993792+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000007fd
2021-02-08 19:26:27.993922+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000003fd
2021-02-08 19:26:27.994120+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000001fd
2021-02-08 19:26:27.994149+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000001fc
2021-02-08 19:26:27.994312+0800 0x20ed     Default     0x0                  0      0    kernel: (AppleGFXHDA) [0x90001]AppleGFXHDAController[0]::setPowerState from 2 to 0
2021-02-08 19:26:27.994343+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x000001dc
2021-02-08 19:26:27.994391+0800 0x1d2      Default     0x0                  0      0    kernel: (AppleGFXHDA) [0x90001]Sending kApplePrivateMessageIdle from shutdownHDAController
2021-02-08 19:26:27.994393+0800 0x1d2      Default     0x0                  0      0    kernel: (AppleGFXHDA) [0x90001]Calling requestBandwidth from setPowerStateGated kIOHDABandwidthRequest_ZERO_BANDWIDTH
2021-02-08 19:26:27.994394+0800 0x1d2      Default     0x0                  0      0    kernel: (AppleGFXHDA) [0x90001]Sending kApplePrivateMessageIdle from requestBandwidth
2021-02-08 19:26:27.995592+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x0000015c
2021-02-08 19:26:27.995594+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x0000005c
2021-02-08 19:26:27.996579+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x14 detail 0x0000001c
